"Site.Name","Escape.ID","Operator.at.Time.of.Escape","Escape.Water.Type","Escape.Start.Date","Escape.Start.Time","Escape.End.Time","Escape.Grid.Reference","Escaped.Species","Stage","Age","Average.Weight.Kg.","Initial.Date.of.Escape","Initial.Number.Escaped","Initial.Escape.Reason","Final.Date.of.Escape","Final.Number.Escaped","Final.Number.Recovered","Final.Escape.Reason","Marine.Scotland.Site.ID","Date.Registered","National.Grid.Reference","Local.Authority","Producing.in.Last.3.Years","Site.Address.1","Site.Address.2","Site.Address.3","Site.Post.Code","Site.Contact.Number","Aquaculture.Type","Water.Type","Health.Surveillance","Easting","Northing","MS.Management.Area","Region","Operator","Species","year","month","c2","c3","c4","c5","c6","c7"
"abbey st bathans trout farm",2000113,"abbey st. bathans trout farm","f","22-Oct-02","06:00",NA,"nt760620","rainbow trout","fish weighing more than 5 grams",12,0.2,"1-Nov-02","70-80,000","flooding - fld","28-Nov-02",0,0,"flooding","fs0258","14-May-79","nt760620","scottish borders","yes","duns","berwickshire","n/a","td11 3tx","01361 840232","fish","freshwater","low",376000,662000,"not in a management area","borders","abbey st bathans trout farm","rainbow trout",NA,NA,NA,NA,NA,NA,NA,NA
"aird",2000303,"the scottish salmon company","s","29-Sep-11",NA,NA,"ng787558","atlantic salmon","grower fish (salmon only)",29,3.9,"30-Sep-11","20","human error - hum","20-Oct-11",20,0,"human error","fs0594","17-Apr-89","ng789560","highland","yes","aird","sheildaig","strath carron","iv54 8xh","01546 602172","fish","seawater","medium",178900,856000,"11a - torridon","highland","the scottish salmon company","atlantic salmon, lumpsucker, wrasse",NA,NA,NA,NA,NA,NA,NA,NA
"aird",2000526,"the scottish salmon company","s","11-Nov-20","09:00","11-Nov-20",NA,"atlantic salmon","grower fish (salmon only)",11,1.4,"13-Nov-20","0","hole in net - hol",NA,0,0,NA,"fs0594","17-Apr-89","ng789560","highland","yes","aird","sheildaig","strath carron","iv54 8xh","01546 602172","fish","seawater","medium",178900,856000,"11a - torridon","highland","the scottish salmon company","atlantic salmon, lumpsucker, wrasse",NA,NA,NA,NA,NA,NA,NA,NA
"aird",2000225,"lighthouse caledonia ltd","s","17-May-09",NA,"17-May-09","ng787558","atlantic salmon","grower fish (salmon only)",24,2.5,"18-May-09","unknown","hole in net - hol","22-May-09",17766,0,"hole in net","fs0594","17-Apr-89","ng789560","highland","yes","aird","sheildaig","strath carron","iv54 8xh","01546 602172","fish","seawater","medium",178900,856000,"11a - torridon","highland","the scottish salmon company","wrasse, atlantic salmon, lumpsucker",NA,NA,NA,NA,NA,NA,NA,NA
"arbhair",2000087,"lewis salmon ltd","s","11-Aug-04","11:00",NA,"nb410245","atlantic salmon","grower fish (salmon only)",20,4,"12-Aug-04","10,000","equipment damage - eqd","12-Aug-04",0,0,"equipment damage","fs0615","14-Jun-96","nb409242","western isles","no","n/a",NA,NA,NA,NA,"fish","seawater","not applicable",140900,924200,NA,"western isles","mowi scotland ltd","wrasse, atlantic salmon",NA,NA,NA,NA,NA,NA,NA,NA
"arbhair",2000091,"lewis salmon ltd","s","10-May-04","03:00",NA,"nb410245","atlantic salmon","grower fish (salmon only)",18,3.452,"11-May-04","unknown","equipment damage - eqd","16-Jul-04",4227,0,"equipment damage","fs0615","14-Jun-96","nb409242","western isles","no","n/a",NA,NA,NA,NA,"fish","seawater","not applicable",140900,924200,NA,"western isles","mowi scotland ltd","wrasse, atlantic salmon",NA,NA,NA,NA,NA,NA,NA,NA
"ardcastle bay",2000304,"the scottish salmon company","s","7-Oct-11",NA,NA,NA,"atlantic salmon","salmon fresh water stages",10,0.08,"7-Oct-11","2500","human error - hum","26-Oct-11",3317,0,"human error","fs0818","12-Aug-93","nr953922","argyll and bute","yes","crarae","furnace","argyll","pa32 8ya","01546 602172","fish","seawater","medium",195300,692200,"19a - fyne","strathclyde","the scottish salmon company","lumpsucker, atlantic salmon, wrasse",NA,NA,NA,NA,NA,NA,NA,NA
"ardchattan bay",2000220,"dawnfresh farming ltd","s","29-Jan-09",NA,"29-Jan-09","nm972347","rainbow trout","fish weighing more than 5 grams",19,2.2,"29-Jan-09","unknown","predator - prd","23-Feb-09",4671,89,"predator","fs0197","23-Apr-93","nm973347","argyll and bute","no","n/a",NA,NA,NA,NA,"fish","seawater","high",197300,734700,NA,"strathclyde","dawnfresh farming ltd","rainbow trout",NA,NA,NA,NA,NA,NA,NA,NA
"ardchattan bay",2000037,"mainstream scotland ltd","s","27-Jun-05","unknown","4-Jul-05","nm972347","rainbow trout","fish weighing more than 5 grams",24,3.083,"1-Aug-05","2200","hole in net - hol","1-Aug-05",2203,0,"hole in net","fs0197","23-Apr-93","nm973347","argyll and bute","no","n/a",NA,NA,NA,NA,"fish","seawater","high",197300,734700,NA,"strathclyde","dawnfresh farming ltd","rainbow trout",NA,NA,NA,NA,NA,NA,NA,NA
"ardchattan bay",2000190,"kames fish farming ltd","s","29-Feb-08",NA,"1-Mar-08","nm972347","rainbow trout","fish weighing more than 5 grams",21,2.5,"3-Mar-08","5,000","weather - wth","26-Mar-08",4047,2500,"weather","fs0197","23-Apr-93","nm973347","argyll and bute","no","n/a",NA,NA,NA,NA,"fish","seawater","high",197300,734700,NA,"strathclyde","dawnfresh farming ltd","rainbow trout",NA,NA,NA,NA,NA,NA,NA,NA
